"","k2.cluster"
"150090000023",1
"150090000103",1
"150110000016",1
"150110000030",2
"150270000057",2
"150320000021",2
"150320000022",2
"150320000023",2
"150320000024",2
"150320000025",2
"150320000026",2
"150320000027",2
"150320000028",2
"150320000029",2
"150320000034",2
"150320000035",2
"150320000036",2
"150320000037",2
"150320000038",2
"150320000059",2
"150320000102",2
"150320000104",2
"150320000105",2
"150320000106",2
"150320000107",2
"150360000032",2
"150740000018",2
"150740000027",2
"150740000035",2
"150740000058",2
"150740000060",2
"150740000061",2
"150810000264",1
"150810000265",1
"150810000268",1
"150810000269",1
"150810000270",1
"150810000271",1
"150810000272",1
"150860000016",1
"150860000020",1
"150860000021",2
"150860000052",2
"150930000138",2
"150930000139",2
"150970000043",2
"150970000054",2
"150970000056",2
"151460000001",1
"151460000002",2
"151460000003",1
"151460000004",1
"151460000005",1
"151460000006",1
"151460000007",1
"151460000008",2
"151460000009",2
"151460000010",2
"151460000011",2
"151460000012",1
"151460000013",1
"151460000014",1
"151460000015",1
"151460000016",1
"151460000017",1
"151460000018",1
"151460000019",1
"151460000020",1
"151460000021",1
"151460000022",1
"151460000023",1
"151460000024",1
"151460000025",1
"151460000026",1
"151460000027",1
"151460000028",1
"151460000029",1
"151460000030",1
"151460000031",1
"151460000032",1
"151460000033",1
"151460000034",1
"151460000035",1
"151460000036",1
"151460000037",1
"151460000038",1
"151460000039",1
"151460000040",1
"151460000041",1
"151460000042",1
"151460000043",1
"151460000044",1
"151460000045",1
"151460000046",1
"151460000047",1
"151460000048",2
"151460000049",2
"151460000050",2
"151460000051",2
"151460000052",2
"151460000053",1
"151460000054",1
"151460000055",2
"151460000056",2
"151460000057",2
"151460000058",1
"151460000059",1
"151460000060",1
"151460000061",1
"151460000062",1
"151460000063",1
"151460000064",1
"151460000065",1
"151460000066",1
"151460000067",1
"151460000068",2
"151460000069",1
"151460000070",1
"151460000071",1
"151460000072",1
"151460000073",1
"151460000074",1
"151460000075",2
"151460000076",1
"151460000077",1
"151460000078",1
"151460000079",1
"151460000080",1
"151460000081",1
"151460000082",1
"151460000083",1
"151460000084",1
"151460000085",1
"151460000086",1
"151460000087",1
"151460000088",1
"151460000089",1
"151460000090",1
"151460000091",1
"151460000092",1
"151460000093",1
"151460000094",1
"151460000095",1
"151460000096",1
"151460000097",1
"151460000098",1
"151460000099",1
"151460000100",1
"151460000101",1
"151460000102",1
"151460000103",2
"151460000104",2
"151460000105",1
"151460000106",1
"151460000107",1
"151460000108",1
"151460000109",1
"151460000110",1
"151460000111",1
"151460000112",1
"151460000113",1
"151460000114",1
"151460000115",1
"151460000116",2
"151460000117",2
"151460000118",2
"151460000119",1
"151460000120",1
"151460000121",1
"151460000122",1
"151460000123",2
"151460000124",2
"151460000125",2
"151460000126",2
"151460000127",2
"151460000128",2
"151460000129",2
"151460000130",2
"151460000131",2
"151460000132",2
"151460000133",1
"151460000134",1
"151460000135",1
"151460000136",1
"151460000137",1
"151460000138",1
"151460000139",1
"151460000140",1
"151460000141",1
"151460000142",1
"151460000143",1
"151460000144",2
"151460000145",1
"151460000146",1
"151460000147",1
"151460000148",1
"151460000149",1
"151460000150",1
"151460000151",1
"151460000152",1
"151460000153",1
"151460000154",1
"151460000155",1
"151460000156",1
"151460000157",1
"151460000158",1
"151460000159",1
"151460000160",1
"151460000161",1
"151460000162",1
"151460000163",1
"151460000164",1
"151460000165",1
"151460000166",1
"151460000167",1
"151460000168",1
"151460000169",1
"151460000170",1
