SEZ2011,closeness,betweenness
151460005984,2.7600119963306914e-9,461240.7439380431
151460001209,2.7492074799251912e-9,431098.21970323555
151460001062,2.727684488393433e-9,818421.7768854434
151460005439,2.9759186988948447e-9,1420939.5975938768
151460000748,3.084910145578e-9,971341.700905999
151460005959,2.689367307103139e-9,716141.7512690991
151460000961,3.095073876517724e-9,1124264.3261331704
151460001089,2.715002850250236e-9,681085.1796004322
151460001070,2.856984598740389e-9,658479.0603339516
151460001040,2.83025009914034e-9,1099274.7259708582
151460000939,2.2877490820641615e-9,611933.1966695738
151460000810,2.7430069045857395e-9,628140.447338051
151460001066,2.816902548277607e-9,931658.1962915132
151460001231,2.513691684602356e-9,319762.9979307429
151460001184,2.7448815323569723e-9,566624.1974934513
151460005897,2.8682784453476995e-9,609464.6325407021
151460000964,3.017689583283361e-9,1768547.2432436817
151460001018,3.070284042402664e-9,1161732.3425594454
151460000942,2.7230695063053154e-9,788603.0560633778
151460001189,2.7736297248572625e-9,395967.4121933181
151460005915,2.821897623800327e-9,706495.5102300372
151460001138,2.4113441738548186e-9,332273.47377211566
151460000828,3.1172309095704746e-9,1434349.6523421172
151460006021,2.6520999354601637e-9,826597.9335151814
151460000945,2.75664714519146e-9,558870.1848178951
151460001050,2.727128061483675e-9,672429.5372136557
151460000746,3.1606753213161193e-9,1593995.8545660172
151460001344,2.700301579078123e-9,1740579.0055157102
151460000820,3.091424077966422e-9,1408860.752295591
151460005431,3.0476780143515126e-9,800370.4128547476
151460005910,2.9281213385759993e-9,655371.8134154624
151460000771,NA,NA
151460001233,2.385455214678746e-9,271328.2146082218
151460005441,2.9675513745403326e-9,1633900.4611274302
151460000934,2.3960885750804484e-9,771060.7694476423
151460000750,3.145356565151921e-9,1113597.1176578267
151460000802,2.8396325302353816e-9,1101663.7549012264
151460000955,2.2070670680072296e-9,205299.53672279778
151460004331,2.6580213303255905e-9,1031377.9948425721
151460003596,2.8115987768391787e-9,839797.1667432912
151460003728,2.854003619297804e-9,874563.3279338083
151460004352,2.666743399337895e-9,1102943.0654154571
151460003978,2.788192623258003e-9,945279.3907342802
151460003278,2.780963712900389e-9,665424.0472260506
151460003643,3.0669550610051066e-9,1046636.8678515182
