IMU,platform,station,stop_area,stop_position,yes
-0.5800366,NA,NA,NA,NA,NA
-0.640385614,NA,NA,NA,NA,NA
-0.975537095,NA,NA,NA,NA,NA
-0.860086354,NA,NA,NA,NA,NA
-0.475138647,NA,NA,NA,NA,NA
-0.302646161,NA,NA,NA,NA,NA
-0.697708341,NA,NA,NA,NA,NA
-0.995290696,NA,NA,NA,NA,NA
-0.764367101,NA,NA,NA,NA,NA
-0.765678542,NA,NA,NA,NA,NA
-1.049894556,NA,NA,NA,NA,NA
-1.286108775,NA,NA,NA,NA,NA
-0.659844412,NA,NA,NA,NA,NA
0.248062565,2.05128205128205,0,0,0.788177339901478,0
-1.126423652,NA,NA,NA,NA,NA
-1.01981691,NA,NA,NA,NA,NA
-0.66508764,NA,NA,NA,NA,NA
-0.677196265,NA,NA,NA,NA,NA
-1.047825451,NA,NA,NA,NA,NA
-0.995386446,NA,NA,NA,NA,NA
-0.940693552,NA,NA,NA,NA,NA
0.369250279,NA,NA,NA,NA,NA
-1.262814376,NA,NA,NA,NA,NA
-1.144157189,NA,NA,NA,NA,NA
-1.078051201,NA,NA,NA,NA,NA
-1.270283181,NA,NA,NA,NA,NA
-0.896704643,NA,NA,NA,NA,NA
-0.91798403,NA,NA,NA,NA,NA
-1.117529953,NA,NA,NA,NA,NA
-0.705830447,NA,NA,NA,NA,NA
-0.939706137,NA,NA,NA,NA,NA
-0.895932826,NA,NA,NA,NA,NA
-1.030545533,NA,NA,NA,NA,NA
-1.133493636,NA,NA,NA,NA,NA
-0.816056215,NA,NA,NA,NA,NA
-0.829753236,NA,NA,NA,NA,NA
-0.684522674,NA,NA,NA,NA,NA
-1.151731987,NA,NA,NA,NA,NA
-0.456664224,NA,NA,NA,NA,NA
-0.795646533,NA,NA,NA,NA,NA
-0.489365853,NA,NA,NA,NA,NA
-0.794508471,NA,NA,NA,NA,NA
-0.416547303,NA,NA,NA,NA,NA
-0.350001205,NA,NA,NA,NA,NA
-0.058774519,NA,NA,NA,NA,NA
-0.190770891,NA,NA,NA,NA,NA
-0.481905767,NA,NA,NA,NA,NA
-0.528571895,NA,NA,NA,NA,NA
-0.70123134,NA,NA,NA,NA,NA
-0.547124481,NA,NA,NA,NA,NA
-0.722082407,NA,NA,NA,NA,NA
-0.508505857,NA,NA,NA,NA,NA
-1.309363752,NA,NA,NA,NA,NA
-0.665056013,NA,NA,NA,NA,NA
-0.81886272,NA,NA,NA,NA,NA
-0.64134592,NA,NA,NA,NA,NA
-0.659637584,NA,NA,NA,NA,NA
