CVE_GEOAGE,AMPLIACION,ANDADOR,AVENIDA,BOULEVARD,CALLE,CALLEJON,CALZADA,CARRETERA,CERRADA,CIRCUITO,CONTINUACION,CORREDOR,DIAGONAL,EJE VIAL,OTRO,PASAJE,PEATONAL,PERIFERICO,PRIVADA,PROLONGACION,RETORNO,VIADUCTO,street_density
0900200010769,0,0,51.4549927765302,0,28.4404400365801,0,0,0,26.4933716305789,179.927759914255,0,0,0,0,0,0,0,0,2.27501090936688,0,0,0,0.0182362949239351
0900200010576,0,0,6.43187409706627,0,25.6550361154717,0,0,0,0,0,0,0,0,96.163120188195,0,0,0,0,8.53129091012579,0,0,0,0.0261813366346791
090020001081A,0,0,27.8714544206205,0,24.5555345676658,0,0,0,5.51945242303727,0,0,0,0,0,0,0,0,0,2.8437636367086,0,0,0,0.0236663489841528
0900200010415,0,0,5.71722141961446,0,31.7633780477269,0,0,0,0,0,0,0,0,555.609138865127,0,0,0,0,0,0,0,0,0.0243876381063076
0900200010881,0,151.958410138249,23.5835383559097,0,16.1260227011536,52.9259357344633,0,0,33.1167145382236,0,0,0,0,208.353427074423,0,0,3131.95149253731,0,5.68752727341719,0,0,0,0.00768872446907532
0900200010877,0,49.1178699436764,5.71722141961446,0,7.00423208231926,70.5679143126177,51.4013203017833,0,17.1716297605604,0,0,0,0,427.391645280867,0,0,198.854063018242,0,13.9028444461309,0,0,0,0.0079372784815611
0900200010222,0,15.7878867676103,25.7274963882651,0,10.8903010449349,332.677310330912,0,0,50.4635650106264,0,0,0,0,183.167847977514,0,0,0,0,21.1251013012639,0,0,0,0.0183855169882227
0900200010326,0,0,12.0061649811904,0,7.9164111442027,42.3407485875706,0,0,30.9089335690087,0,0,0,0,0,0,0,0,0,22.7501090936688,0,0,0,0.0121634970862432
090020001035A,0,239.449615975422,22.8688856784578,0,17.3476910876047,0,0,0,14.718539794766,0,0,0,0,64.10874679213,0,0,0,0,3.7916848489448,0,0,0,0.0059032262757783
0900200011004,0,36.8384024577573,4.28791606471085,0,15.8816890238634,0,0,0,3.67963494869151,0,0,0,0,0,0,0,596.562189054726,0,3.7916848489448,0,0,0,0.0162803934846833
0900200011127,0,0,12.8637481941325,0,14.6600206374124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125916504731426
0900200010932,0,0,45.0231186794639,0,5.13100722309434,0,0,0,0,0,0,0,0,128.21749358426,0,0,0,0,2.8437636367086,0,0,0,0.00504400972668985
0900200010114,0,0,48.0246599247615,0,17.2988243521466,0,0,0,52.9867432611577,0,0,0,0,51.286997433704,0,0,0,0,2.27501090936688,0,0,0,0.0103517676922419
0900200010928,0,22.1030414746544,32.5881620918024,0,14.6600206374124,42.3407485875706,0,0,0,0,0,0,0,25.643498716852,0,0,0,0,0,0,0,0,0.00548391996633981
0900200010913,0,0,2.85861070980723,0,2.93200412748248,0,0,0,0,0,0,0,0,170.956658112347,0,0,0,0,0,0,0,0,0.0102301194036312
0900200010097,0,284.181961816985,6.12559437815835,0,9.42429898119369,0,0,0,12.6158912526566,0,0,0,0,54.9503543932543,0,0,255.669509594883,0,1.62500779240491,0,0,0,0.0264884751874069
0900200010665,0,0,23.5835383559097,0,31.885544886372,0,0,0,49.6750718073354,0,0,0,0,0,0,0,0,0,19.9063454569602,0,0,0,0.0184205688400501
0900200010650,0,0,34.3033285176868,0,38.1160536572722,0,0,0,66.2334290764472,0,0,0,0,0,0,0,0,0,22.7501090936688,0,0,0,0.0182553208317998
0900200010010,0,0,48.5963820667229,0,30.2973759839856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.1734039140199,0,0,0.0311457544981108
0900200010824,0,0,64.3187409706627,0,17.5920247648949,0,0,0,22.0778096921491,0,0,0,0,0,0,0,0,0,2.8437636367086,0,0,0,0.0139520541288203
0900200011023,0,0,22.2971635364964,0,15.2464214629089,0,0,0,48.5711813227279,0,0,0,0,512.86997433704,0,0,0,0,6.82503272810063,0,0,0,0.012356266622698
0900200011165,0,0,14.2930535490362,0,13.1940185736712,0,0,0,0,0,0,0,0,149.587075848303,16.3649142919533,0,298.281094527363,0,1.8958424244724,0,0,0,0.00637565209204325
0900200010701,0,0,77.1824891647952,0,42.514059848496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226614294951776
0900200010805,0,0,25.7274963882651,0,26.8767045019227,0,0,0,7.35926989738302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252107770878175
0900200010472,0,0,36.0184949435711,0,19.0580268286361,0,0,0,79.4801148917366,0,0,0,0,487.226475620188,0,0,0,0,9.10004363746751,0,0,0,0.0193433388578115
0900200010720,0,0,5.14549927765302,0,30.786043338566,0,0,0,8.83112387685963,0,0,0,0,179.504491017964,0,0,0,0,2.27501090936688,0,0,0,0.0280289559803562
0900200010754,0,0,0,0,70.3680990595795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270464246164258
