ACE,arts_centre,atm,bank,bar,bbq,bench,bicycle_parking,bicycle_rental,bookshop,bureau_de_change,bus_station,cafe,car_rental,car_sharing,car_wash,charging_station,childcare,cinema,clinic,clock,college,community_centre,conference_centre,courthouse,coworking_space,dentist,doctors,dormitory,drinking_water,driving_school,embassy,emergency_phone,fast_food,fire_station,food_court,fountain,fuel,gambling,grave_yard,gym,hospital,ice_cream,insurance,kindergarten,language_school,library,marketplace,massage,monastery,money_transfer,motorcycle_parking,nightclub,parking,parking_entrance,person_weighing,pharmacy,photo_booth,place_of_worship,police,post_box,post_office,pub,public_bookcase,public_building,recycling,recylcing,restaurant,school,shelter,shower,social_centre,social_club,social_facility,studio,swimming_pool,taxi,telephone,theatre,toilets,townhall,university,Upcoming supermarket,vending_machine,veterinary,waste_basket,waste_disposal,water_point,wifi
1,1.19980035322122e-05,0.00202766259694387,0.0638293787913691,0.0169411809874837,0,0.201321700069108,0.0435863472318206,0.0151174844505874,9.59840282576979e-06,4.7992014128849e-05,0,0.162016240497581,3.11948091837518e-05,0,0,3.83936113030792e-05,0,0.000386335713737234,0,0.0284496659755817,9.59840282576979e-06,0,7.19880211932734e-06,7.19880211932734e-06,0,3.11948091837518e-05,0,0,0.0152422636873224,1.67972049450971e-05,0.000863856254319281,0,0.00611898180142824,0,0,0.000532711356830223,0.0011758043461568,0,0,0,2.87952084773094e-05,0.00233961068878139,0,0,2.39960070644245e-06,0.000230361667818475,0,0,0,2.39960070644245e-06,0,0.000345542501727712,0.00469841818321431,0.00393294555785917,0,0.0223522805805114,0,0.000251958074176457,0,0.00518313752591569,0.00155494125777471,0.000295150886892421,0,0,0,0,0.186221012823466,0.00177090532135453,0,0,0,0,0,0,0,0.00264915917991246,0.017843430853106,0.000326345696076173,0.000554307763188206,1.19980035322122e-05,1.19980035322122e-05,0,0.00326345696076173,0,0.249558473470015,0,0,1.43976042386547e-05
2,1.27978704343597e-05,0.00133097852517341,0.0474161099593028,0.00903529652665796,0,0.0978576364892882,0.0379277688192685,0.0064501266989173,0,0,0,0.111720289743787,3.32744631293353e-05,0,0,4.09531853899511e-05,0,5.88702039980547e-05,0,0.0165041337121503,0,0,7.67872226061583e-06,0,0,0,0,0,0.0132099618623461,0,0.00055286800276434,0,0.00230361667818475,0,0,0.000378816964857048,0.00125419130256725,0,0,0,0,0.00191968056515396,0,0,0,8.19063707799022e-05,1.79170186081036e-05,0,0,0,0.000133097852517341,0.00036857866850956,0.00227802093731603,0.00228825923366352,0,0.0105966367196499,1.27978704343597e-05,0.000268755279121554,0.000191968056515396,0.00506795669200645,0.00082930200414651,0.00251862090148199,0,1.27978704343597e-05,0,0,0.186669738155571,0.000419770150246999,0,0,0,0,1.27978704343597e-05,5.11914817374389e-06,0,0.00164836571194553,0.00951649645498989,0.000261076556860938,0.000394174409378279,0,1.27978704343597e-05,0,0.00522153113721877,4.35127594768231e-05,0.28923187181653,0,0,0
3,0,0.000850767523193232,0.0186514418546208,0.0147850306799858,0,0.447587485078846,0.0450461770434127,0.00518313752591569,0,0,0,0.0821239345772863,0,0,0,2.09419698016795e-05,0,0,0,0.00435592971874935,0,1.04709849008398e-05,0,0,7.85323867562983e-06,3.40307009277293e-05,5.23549245041989e-05,2.61774622520994e-06,0.00831396201126678,1.83242235764696e-05,0.000188477728215116,0,0.00392661933781492,0,0,0.000193713220665536,0,2.61774622520994e-06,0,5.23549245041989e-06,0,0.00117798580134447,0,4.97371782789889e-05,0,0,0,0,0,0,0.000102092102783188,0.000753910912860464,0.00419362945278633,0.00585066281334422,0,0.00541873468618458,0,9.1621117882348e-05,6.54436556302486e-05,0.00282716592322674,0.000636112332726016,0.00257586228560658,0,1.30887311260497e-05,0.000248685891394945,0,0.225178530292559,0.000214655190467215,0,0,0,0,1.30887311260497e-05,0,0,0.00144499591631589,0.0067380787836904,0.000178006743314276,0.000604699378023497,0,0,0,0.0137955226068564,0,0.408368411132751,0,0,0
4,0,0.00103265575228972,0.0207524088681299,0.0140202877137796,0,0.0674880251650263,0.00569549364916712,0.00214474656244787,0,0,0,0.0460485030463345,0,0,0,0,0,0,0,0.000826124601831772,0,0,0,0,0,0.000103265575228972,3.97175289342198e-05,0,0.0141910730881967,0,0,0,0.00238305173605319,0,0,0,0,0,0,7.94350578684396e-06,0,0,0,0,0,0,2.78022702539539e-05,0,0,0,0,0.000428949312489574,0.00141394403005823,0.00177537354335963,0,0.0082215284893835,0,0,0,0.00357457760407978,0.000321711984367181,0.000977051211781808,0,0,0.000754633049750177,0,0.0928397238837388,0,0,0,0,0,0,0,0,0.000365401266194822,0.00340776398255606,0.000135039598376347,0.000305824972793493,0,0,0,0.0101279698782261,0,0.166813621523723,0,0,0
5,0,0.00110099326530889,0.0209188720408689,0.0215252652546851,0,0.118724338387739,0.0210509912327059,0.00609780885401846,0,0,0,0.0808637207474558,0.000264238383674133,0,0,0,0,0,6.77534317113162e-06,0.0147973494857515,0,0,0,0,0,4.40397306123555e-05,6.77534317113162e-05,0,0.0134490561946963,0,0,0,0.0035570551648441,0,0,0,0,0,0,0,0,0.000254075368917436,0,0.000193097280377251,0,0,0,0,0,0,0,0.000243912354160738,0.000603005542230714,0.00353334146374514,0,0.0128562136672222,0,0.000237137010989607,0.000338767158556581,0.00243912354160738,0.000548802796861661,0.00125005081507378,0,0,0.000643657601257504,0,0.161541119557706,0.000277789070016396,0,0,0,0,0,0,0,0.000934997357616163,0.0174397333224928,0,0.000521701424177135,0,0,0,0.00979037088228519,5.75904169546187e-05,0.464111007222516,0,0,0
6,0,0.000207965394558345,0.034954183623845,0.00451764826332898,0,0.01359133840129,0.0152934551690599,0.00979037088228519,0,0,0,0.032730553635875,0,0,0,0,0,0.000147175509995137,0,0.00732038188845376,0,0,9.59840282576979e-06,1.91968056515396e-05,0,0,0,0,0.0139720750467122,0,0.000345542501727712,0,0.00047992014128849,0,0,0.000236760603035655,0.00313547825641813,0,0,0,0,0.00047992014128849,0,0,0,0.000204765926949756,0,0,0,0,4.15930789116691e-05,0,0.00113901046865802,0.0033370447157593,0,0.00883053059970821,0,0.000223962732601295,0,0.00230361667818475,0.000777470628887353,0.00118060354756968,0,0,0.00091184826844813,0,0.0299150221403159,0.00131178171952187,0,0,0,0,0,0,0,0.00264915917991246,0.00640533415239704,0.000217563797384115,0.000739077017584274,1.59973380429497e-05,0,0,0.0043512759476823,0,0.108781898692058,0,0,0
7,0,0.000277287192744461,0.014184306398082,0.00903529652665796,0,0.01359133840129,0.0081565094234986,0.00537510558243108,0,0,0,0.0232750603632889,0,2.13297840572662e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118550939790286,0,0,0,0.00191968056515396,0,0,0,0.00313547825641813,0,0,0,0,0.000319946760858993,0,0,0,0.000136510617966504,0,0,0,0,0,0.000153574445212317,0.00227802093731603,0.00254251025962613,0,0.00883053059970821,0,0,0.000106648920286331,0.00383936113030792,0.000345542501727712,0.00262356343904374,0,0,0,0,0.035898026568379,0.00174904229269583,0,0,0,0,0,0,0,0.000392468026653698,0.00244012729615125,0.00014504253158941,0,0,0,0,0,0,0.00426595681145324,0,0,0
8,0,0,0.00994743565579779,0.00739251533999288,0,0,0,0.00188477728215116,0,0,0,0.0321354526606773,0,0,0,0,0,0,0,0.00217796485937467,0,0,0,0,0,0,0,0,0.0020784905028167,0,0.000188477728215116,0,0,0,0,0,0.00384808695105862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279575296852422,0.000780088375112563,0,0.00722497958157944,0,0,0,0.00282716592322674,0.000424074888484011,0.00193189671420494,0,0,0.000497371782789889,0,0.0293711126468556,0.000429310380934431,3.14129547025193e-05,0,5.23549245041989e-06,0,0,0,0,0,0.00598940336328035,0.000356013486628552,0,0,0,0,0,0,0.00523549245041989,0,0,0
9,0,0.000374337710205022,0.0218843584427551,0.00609882515549413,0,0.0183483068417415,0.00550564386086155,0.00621976503109883,0,0,0,0.03927666436305,0.000149735084082009,0,0,0,0,0,0,0.00479152269062428,0,0,0,0,0,0,0,0,0.00228633955309836,0,0,0,0.000863856254319281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257429163787146,0,0.00596060815480304,0,0,0,0.00103662750518314,0,0.00212508638562543,0,0,0,0,0.0484623358673117,0,0,0,0,0,0,0,0,0.000529831835982492,0.0016470859249021,0.000195807417645704,0.000443446210550564,0,0,0,0,0,0,0,0,0
10,0,0.000724524600396817,0.0194135437798634,0.00655787651128401,0,0.019729362195421,0.0230881839326452,0.00535033551062265,0,1.85775538563286e-05,0,0.0380096751900484,0,0,0,0,0,8.54567477391117e-05,0,0.00231847872126981,0,0,0,0,0,0,0,0,0.00590023110476997,0,0.000535033551062264,0,0.000557326615689859,0,0,0,0.00273090041688031,0,0,0,8.91722585103774e-05,0.000835989923534788,0,0,0,0,0,0,0,0,0,0,0.0019840827518559,0.00276805552459297,0,0.0102548097286934,7.43102154253145e-05,0,0,0.00334395969413915,0.000300956372472524,0.00182803129946274,0,0,0,0,0.0660060488515356,0.00121868753297516,0,0,0,0,0,0,0,0.00205096194573868,0.00743845256407398,0,0.000286094329387461,0,0,0,0.00315818415557587,0,0.00743102154253145,0,0,1.11465323137972e-05
