description,name,room_type,host,price,income,rank,geometry
,412838,Entire home/apt,2054410,379,30320,1,"<Point><coordinates>9.212268,45.483426,0.0</coordinates></Point>"
,255104,Entire home/apt,1280906,217,24738,2,"<Point><coordinates>9.188155,45.461705,0.0</coordinates></Point>"
,179197,Private room,857154,94,24534,3,"<Point><coordinates>9.178677,45.44928,0.0</coordinates></Point>"
,75741,Entire home/apt,387110,210,23730,4,"<Point><coordinates>9.185223,45.472514,0.0</coordinates></Point>"
,65142,Entire home/apt,318394,114,21432,5,"<Point><coordinates>9.201814,45.480226,0.0</coordinates></Point>"
,76357,Entire home/apt,407513,174,19314,6,"<Point><coordinates>9.178547,45.459315,0.0</coordinates></Point>"
,286166,Entire home/apt,1489293,216,19224,7,"<Point><coordinates>9.181432,45.458605,0.0</coordinates></Point>"
,103269,Entire home/apt,509471,80,18880,8,"<Point><coordinates>9.202755,45.480419,0.0</coordinates></Point>"
,47305,Entire home/apt,193371,80,18240,9,"<Point><coordinates>9.168793,45.45325,0.0</coordinates></Point>"
,271845,Entire home/apt,1422647,145,17690,10,"<Point><coordinates>9.186662,45.46209,0.0</coordinates></Point>"
,466141,Entire home/apt,2173816,116,16936,11,"<Point><coordinates>9.189018,45.461652,0.0</coordinates></Point>"
,876606,Entire home/apt,4629031,217,16492,12,"<Point><coordinates>9.181041,45.472563,0.0</coordinates></Point>"
,234244,Entire home/apt,1138330,287,15785,13,"<Point><coordinates>9.178707,45.457336,0.0</coordinates></Point>"
,904547,Entire home/apt,1549270,87,14877,14,"<Point><coordinates>9.184246,45.488246,0.0</coordinates></Point>"
,918194,Entire home/apt,307669,109,14388,15,"<Point><coordinates>9.204211,45.47683,0.0</coordinates></Point>"
,274889,Entire home/apt,1437217,289,13872,16,"<Point><coordinates>9.206693,45.478087,0.0</coordinates></Point>"
,687210,Private room,2088962,52,13832,17,"<Point><coordinates>9.207168,45.486082,0.0</coordinates></Point>"
,450622,Entire home/apt,2237589,268,13668,18,"<Point><coordinates>9.210463,45.47576,0.0</coordinates></Point>"
,718177,Entire home/apt,2718914,216,13608,19,"<Point><coordinates>9.216682,45.47817,0.0</coordinates></Point>"
,566637,Entire home/apt,2787018,188,13536,20,"<Point><coordinates>9.210235,45.479552,0.0</coordinates></Point>"
,93888,Entire home/apt,502750,116,12876,21,"<Point><coordinates>9.204033,45.483762,0.0</coordinates></Point>"
,982808,Entire home/apt,5384564,143,12727,22,"<Point><coordinates>9.17476,45.458652,0.0</coordinates></Point>"
,669259,Entire home/apt,3172155,253,12650,23,"<Point><coordinates>9.185767,45.479786,0.0</coordinates></Point>"
,696445,Private room,3559652,130,12610,24,"<Point><coordinates>9.17686,45.488129,0.0</coordinates></Point>"
,1058053,Entire home/apt,5826134,261,12528,25,"<Point><coordinates>9.197555,45.468109,0.0</coordinates></Point>"
,610666,Entire home/apt,1680230,116,12412,26,"<Point><coordinates>9.180347,45.458082,0.0</coordinates></Point>"
,1572470,Entire home/apt,7054902,159,12402,27,"<Point><coordinates>9.188065,45.463999,0.0</coordinates></Point>"
,420070,Private room,2088962,52,12272,28,"<Point><coordinates>9.208872,45.486527,0.0</coordinates></Point>"
,1590932,Entire home/apt,8486840,188,12032,29,"<Point><coordinates>9.183991,45.45728,0.0</coordinates></Point>"
,1044467,Entire home/apt,1380892,123,11562,30,"<Point><coordinates>9.17352,45.452274,0.0</coordinates></Point>"
,768969,Entire home/apt,4056380,101,11514,31,"<Point><coordinates>9.206042,45.472841,0.0</coordinates></Point>"
,446587,Entire home/apt,2218101,188,11280,32,"<Point><coordinates>9.206199,45.463772,0.0</coordinates></Point>"
,451490,Entire home/apt,1105076,114,11172,33,"<Point><coordinates>9.180344,45.459841,0.0</coordinates></Point>"
,1216134,Entire home/apt,6629905,194,11058,34,"<Point><coordinates>9.21253,45.449612,0.0</coordinates></Point>"
,214152,Entire home/apt,1105076,87,10962,35,"<Point><coordinates>9.175473,45.458236,0.0</coordinates></Point>"
,466533,Entire home/apt,2316972,130,10790,36,"<Point><coordinates>9.160183,45.476618,0.0</coordinates></Point>"
,959718,Entire home/apt,5222974,143,10582,37,"<Point><coordinates>9.155839,45.465847,0.0</coordinates></Point>"
,1061453,Entire home/apt,4808213,203,10556,38,"<Point><coordinates>9.176038,45.467056,0.0</coordinates></Point>"
,336724,Entire home/apt,1713099,362,10498,39,"<Point><coordinates>9.187027,45.477932,0.0</coordinates></Point>"
,261097,Private room,1369715,101,10403,40,"<Point><coordinates>9.21012,45.479007,0.0</coordinates></Point>"
,109384,Entire home/apt,564830,115,10120,41,"<Point><coordinates>9.156918,45.463839,0.0</coordinates></Point>"
,553285,Entire home/apt,2718914,389,10114,42,"<Point><coordinates>9.205284,45.482132,0.0</coordinates></Point>"
,509173,Entire home/apt,2509471,123,10086,43,"<Point><coordinates>9.20994,45.489263,0.0</coordinates></Point>"
,102817,Entire home/apt,512747,87,10005,44,"<Point><coordinates>9.150652,45.44421,0.0</coordinates></Point>"
,396939,Private room,1962863,62,9920,45,"<Point><coordinates>9.202966,45.490512,0.0</coordinates></Point>"
,833602,Entire home/apt,2911163,68,9860,46,"<Point><coordinates>9.210606,45.480176,0.0</coordinates></Point>"
,327138,Entire home/apt,1672606,109,9810,47,"<Point><coordinates>9.178515,45.502633,0.0</coordinates></Point>"
,601343,Entire home/apt,1380892,87,9657,48,"<Point><coordinates>9.208895,45.482188,0.0</coordinates></Point>"
,666168,Entire home/apt,3048962,116,9628,49,"<Point><coordinates>9.182937,45.483339,0.0</coordinates></Point>"
,176613,Private room,844645,65,9425,50,"<Point><coordinates>9.206124,45.470981,0.0</coordinates></Point>"
,97117,Entire home/apt,399499,159,9381,51,"<Point><coordinates>9.182112,45.458595,0.0</coordinates></Point>"
,69749,Entire home/apt,144021,130,9360,52,"<Point><coordinates>9.207862,45.467386,0.0</coordinates></Point>"
,1482235,Entire home/apt,6714207,130,9360,53,"<Point><coordinates>9.197524,45.467282,0.0</coordinates></Point>"
,284449,Entire home/apt,237347,71,9230,54,"<Point><coordinates>9.21507,45.48347,0.0</coordinates></Point>"
,69812,Entire home/apt,351165,96,9216,55,"<Point><coordinates>9.173635,45.493778,0.0</coordinates></Point>"
,1833320,Entire home/apt,6051625,347,9022,56,"<Point><coordinates>9.171173,45.461396,0.0</coordinates></Point>"
,396517,Entire home/apt,1136997,204,8976,57,"<Point><coordinates>9.192894,45.439749,0.0</coordinates></Point>"
,107117,Entire home/apt,516423,130,8970,58,"<Point><coordinates>9.17524,45.45706,0.0</coordinates></Point>"
,401383,Private room,2003108,84,8904,59,"<Point><coordinates>9.173858,45.461154,0.0</coordinates></Point>"
,297528,Private room,1534034,54,8748,60,"<Point><coordinates>9.211591,45.511476,0.0</coordinates></Point>"
,348111,Entire home/apt,1764533,116,8700,61,"<Point><coordinates>9.189936,45.462641,0.0</coordinates></Point>"
,602405,Entire home/apt,2980678,318,8586,62,"<Point><coordinates>9.170153,45.452459,0.0</coordinates></Point>"
,699786,Entire home/apt,1285027,94,8554,63,"<Point><coordinates>9.223384,45.495691,0.0</coordinates></Point>"
,70591,Private room,358567,72,8424,64,"<Point><coordinates>9.179059,45.482067,0.0</coordinates></Point>"
