ACE,closeness,betweenness
1,3.29609900071226e-09,1807347.91774419
2,3.16446564959321e-09,1526589.41188871
3,3.08754310891025e-09,1381279.03809447
4,2.97033579780897e-09,1405432.14527807
5,3.20126576472473e-09,1471664.0654179
6,3.21981440640231e-09,1439070.04308077
7,3.13697466515013e-09,1486551.25736264
8,2.89508525711423e-09,919868.342863586
9,2.9876671247033e-09,969949.669429771
10,3.2718231611362e-09,1648113.06133126
11,3.25141007668945e-09,1869665.75274703
12,2.99967439713311e-09,1010649.13704632
13,3.18379847270136e-09,1556988.80434825
14,3.20611585247107e-09,1481082.7955404
15,3.18902264672183e-09,1674847.41815087
16,3.06255461158592e-09,1173805.41575344
17,3.12265131824921e-09,1093534.27384683
18,3.13456257796182e-09,1262068.91902843
19,3.0436290976102e-09,1092114.86298267
20,2.93785008289988e-09,819614.424763077
21,3.02474054643651e-09,1537817.90404663
22,2.84995150747869e-09,790960.567428177
23,2.90138887733249e-09,787687.186451588
24,2.97212973326217e-09,1550114.11323663
25,2.87805757214823e-09,1241872.13242237
26,2.75451437417831e-09,796471.768840624
27,2.68602709533708e-09,674480.764714808
28,2.59739392686497e-09,574547.022675146
29,2.76795798308949e-09,896345.866183833
30,2.35419676082563e-09,480884.428229485
31,2.70472631773116e-09,651437.315317803
32,2.79251295972553e-09,723143.71126115
33,2.4235723732005e-09,400485.316908438
34,2.5417368502673e-09,418887.691712901
35,2.79698697276405e-09,863417.57537815
36,2.68513490856659e-09,691777.169901212
37,2.59656335298328e-09,447633.894416881
38,2.49092093974394e-09,490936.858156647
39,2.69653778682269e-09,528242.572724715
40,2.58289384376368e-09,474131.171630049
41,3.12382100193419e-09,1221323.25809271
42,2.66713803788578e-09,473610.996920991
43,2.56415460670218e-09,480789.61416584
44,2.72791505034234e-09,836051.32697433
45,2.7007510271727e-09,511123.845823414
46,2.50738051384375e-09,550360.481848397
47,2.86085420405456e-09,722443.701872253
48,2.65525343208149e-09,422687.905876761
49,2.97774937265035e-09,1321239.81446259
50,2.66481356669289e-09,725332.028370483
51,2.67202544110606e-09,895572.101232499
52,2.48901060299316e-09,331158.700171457
53,2.38620713573253e-09,428636.859637539
54,3.06110176878083e-09,1362992.80944805
55,3.10947307045311e-09,1328463.96936922
56,3.27952854996331e-09,1609020.04739551
57,3.26115547380984e-09,1867225.32658277
58,3.04668189642667e-09,1443145.22102367
59,3.16252495108851e-09,1350859.77291709
60,2.98047506856569e-09,1144113.42602755
62,2.84595525997469e-09,883289.303744265
63,2.80291435959549e-09,598495.192589066
64,2.80938319972157e-09,533698.493824947
65,2.46292736008761e-09,434802.763598775
66,2.47851880105426e-09,325290.937359003
67,2.88333133132194e-09,1011901.84831105
68,2.79955991896533e-09,812320.052050753
69,2.6026121257257e-09,540938.791294887
70,3.11909115657544e-09,1650805.07466997
71,2.61838291400997e-09,601663.599425255
72,2.51937918153484e-09,419539.615822362
73,2.68260902344785e-09,800563.51714803
74,2.87117325785782e-09,1376332.82584547
75,2.6812453187053e-09,1008992.36887587
76,2.60052410115065e-09,645961.707715849
77,2.39657494968353e-09,419911.829284394
78,2.53625900125968e-09,481738.350196905
79,2.94893633340872e-09,1039187.96354884
80,2.80367747409592e-09,698698.200659077
81,3.06838813672305e-09,1172462.94318864
82,2.81853049504761e-09,650937.725894027
83,2.99813669699772e-09,1073742.23831421
84,3.24771484429942e-09,1659455.22114556
85,3.0736713511773e-09,1462997.65329268
61,2.94246497853195e-09,1013365.12370219
