CVE_GEOAGE,closeness,betweenness
0900200010769,1.21544701138857e-11,8251318.8427063
0900200010576,1.22636776625322e-11,6779996.92834931
090020001081A,1.19890014542285e-11,7840346.11085398
0900200010415,1.21671610489785e-11,11043276.304172
0900200010881,1.18454894399443e-11,9990042.45788206
0900200010877,1.17285185617525e-11,11006491.2126228
0900200010222,1.19676276563878e-11,6129945.63109191
0900200010326,1.18834546263708e-11,7448917.29186524
090020001035A,1.17857470573044e-11,9023648.40963535
0900200011004,1.15941296963007e-11,6986376.24732873
0900200011127,1.16428752687076e-11,6145132.67608427
0900200010932,1.1638697249754e-11,10932621.185138
0900200010114,1.16843852758682e-11,10129801.8266755
0900200010928,1.15301251512013e-11,6764883.59331881
0900200010913,1.15311582796484e-11,8706709.76487865
0900200010097,1.15587416342017e-11,4787555.3047291
0900200010665,1.1802467573061e-11,9373800.27500877
0900200010650,1.16960138986627e-11,10845984.0511267
0900200010010,1.15468875721189e-11,5419119.87868376
0900200010824,1.20290828512005e-11,8967945.86894219
0900200011023,1.17415815784003e-11,10478295.0435864
0900200011165,1.16995159273282e-11,9315273.62043835
0900200010701,1.19840881503495e-11,8198185.97167365
0900200010805,1.2014492904883e-11,8744491.97652749
0900200010472,1.19346626556196e-11,12066443.6897669
0900200010720,1.20598400504479e-11,9266026.98205179
0900200010754,1.21986377224377e-11,5849178.05393367
0900200011061,1.21935416479926e-11,5573880.69375657
0900200010839,1.20920047933298e-11,7383122.30289123
0900200010307,1.19530609454569e-11,8028035.15437056
0900200010294,1.18227303283786e-11,9792840.70370355
0900200011019,1.17413274465646e-11,6670616.35222257
0900200010449,1.16748778372391e-11,5606408.95951594
0900200010434,1.16766835531685e-11,8429637.47222452
0900200010631,1.15402320374852e-11,4881196.43552939
090020001099A,1.15410842540111e-11,5137432.50193663
0900200010133,1.19613404611924e-11,4285980.23698255
0900200010909,1.18627963052456e-11,9752193.75844562
0900200011038,1.14992530998087e-11,4913117.61564678
0900200010788,1.22748557690692e-11,10108375.4307801
0900200010580,1.22887522339268e-11,9532886.71816249
0900200010792,1.19365065974081e-11,8400390.62422479
0900200011042,1.15635602464085e-11,6027882.65879502
0900200010612,1.14057470755759e-11,5535489.79932122
0900200010608,1.14425201514192e-11,5101828.98685876
0900200010627,1.13944049830145e-11,6715309.36723009
0900200010595,1.14064854365755e-11,5493252.59000863
